"Status","FoundingYear","Age","FocusFunctions","TeamSizeGrowth","NumSeedInvestors","NumAngelorVCInvestors","NumFounders","NumAdvisors","SeniorLeadershipTeamSize","TopCompanyExp","StartupExp","SuccessfulStartupExp","Big5Partner","ConsultingExp","ProductorService","DataFocus","ConsumerDataFocus","DataStructureFocus","SubscriptionBased","CloudPlatformBased","LocalGlobal","BusinessModel","CapitalIntensive","CrowdsourcingBased","CrowdfundingBased","B2BorB2C","GlobalExposure","HighestEducation","Fortune100Exp","Fortune500Exp","Fortune1000Exp","NumFounderRecognition","PricingStrategy","HyperLocalisation","LongtermFounderRelationship","GooglePageRank","NumDirectCompetitors","EmployeesPerYear","LastFundingRoundAmount","RecessionSurvival","FortuneExp"
"Success",2011,3,"operations","No",15,0,3,0,7,"Yes","No","No","No","No","Both","Private","Yes","Both","Yes","cloud","local","Non-Linear","No","No","No","B2B","Yes","Bachelors",0,0,1,18,"Yes","No","Yes",71391,0,3,2,"Not Applicable",1
"Success",2009,5,"marketing & sales","No",6,0,2,0,4,"No","Yes","Yes","No","No","Product","Public","Yes","Structured","Yes","platform","local","Non-Linear","No","Yes","No","B2C","Yes","Bachelors",0,0,0,2,"Yes","No","No",11847,2,10,10,"Not Applicable",0
"Success",2010,4,"marketing & sales","No",7,0,1,1,8,"No","No","No","No","No","Product","Public","Yes","Both","No","platform","local","Non-Linear","Yes","No","No","B2B","Yes","Bachelors",0,0,0,5,"Yes","No","Yes",201814,0,10,5,"Not Applicable",0
"Success",2010,4,"analytics","No",2,0,4,0,4,"No","No","No","No","No","Service","Public","Yes","Both","No","platform","local","Non-Linear","No","No","No","B2B","Yes","Masters",0,0,0,5,"Yes","No","No",591816,0,3,1,"Not Applicable",0
"Success",2011,3,"research","No",7,0,2,9,2,"No","Yes","Yes","No","No","Both","Public","Yes","Unstructured","Yes","platform","local","Non-Linear","No","No","No","B2B","Yes","PhD",0,0,0,1,"Yes","No","No",2345574,0,5,2,"Not Applicable",0
"Success",2010,4,"computing","No",0,0,3,4,4,"No","Yes","Yes","No","No","Both","Private","No","Both","No","platform","local","Non-Linear","No","No","No","B2B","Yes","Masters",0,0,0,5,"Yes","No","No",1015027,0,10,6,"Not Applicable",0
"Success",2011,3,"marketing","No",13,0,2,0,2,"Yes","Yes","Yes","No","No","Product","Public","Yes","Both","No","platform","local","Non-Linear","No","Yes","No","B2B","Yes","Masters",0,0,0,13,"No","No","No",256921,0,16,11,"Not Applicable",0
"Success",2013,1,"research","No",0,0,3,4,3,"Yes","Yes","Yes","No","No","Product","Public","Yes","Structured","No","platform","global","Non-Linear","No","No","No","B2B","Yes","PhD",0,0,0,1,"Yes","No","Yes",3639779,0,3,3,"Not Applicable",0
"Success",2011,3,"sales, marketing","No",0,0,2,1,8,"No","Yes","Yes","No","No","Both","Public","Yes","Both","No","platform","global","Non-Linear","No","No","No","B2B","Yes","Bachelors",0,0,1,4,"Yes","No","No",142907,4,25,16,"Not Applicable",1
"Success",2010,4,"marketing 
sales","No",0,0,0,1,8,"No","Yes","Yes","No","Yes","Product","Private","Yes","Structured","No","cloud","local","Non-Linear","Yes","No","No","B2B","Yes","Bachelors",1,0,0,0,"Yes","No","No",172054,0,16,11,"Not Applicable",1
